taxon_id	ncbi_id	url
105622	2992872	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2992872
105623	81535	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81535
105626	1051731	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1051731
105631	2908544	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2908544
105636	81528	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81528
105645	81526	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81526
105655	334868	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/334868
106281	3028	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3028
106282	3030	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3030
106283	195503	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/195503
106285	77930	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/77930
106286	31324	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/31324
106287	77924	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/77924
106288	3033	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3033
106289	1073	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073
106289	37096	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/37096
106295	704172	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/704172
106303	195504	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/195504
106305	195071	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/195071
106306	77931	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/77931
106307	307245	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/307245
106308	195067	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/195067
106309	31325	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/31325
106310	77927	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/77927
106314	37097	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/37097
106316	52970	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/52970
109386	79895	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/79895
109391	40984	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/40984
109392	2953	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2953
