provider	synonym_name	author	taxon_id	usage_key
worms	Gymnodinium conicum	Kofoid & Swezy, 1921	109923	3207527
worms	Gymnodinium lebourae	Pavillard, 1921	109923	3207594
worms	Gymnodinium lebouriae	Pavillard, 1921	109923	3207594
worms	Gymnodinium pseudonoctiluca	Pouchet, 1885	109923	3207191
worms	Gymnodinium pyrocystis	Jørgensen, 1912	109923	7559871
worms	Gymnodinium viride	Lebour, 1917	109923	7704865
worms	Gymnodinium viridis	Lebour, 1917	109923	3207519
worms	Cladopyxis claytonii	R.W.Holmes, 1956	109992	7718574
worms	Cladopyxis setifera	Lohmann, 1902	109993	7471525
worms	Crypthecodinium setense	Biecheler, 1938	109998	7366966
worms	Glenodinium cohnii	Seligo, 1887	109998	8384711
worms	Gymnodinium fucorum	Kuster, 1908	109998	3207519
worms	Gyrodinium cohnii	Schiller, 1933	109998	3207317
worms	Gyrodinium fucorum	Kofoid & Swezy, 1921	109998	3207317
worms	Dissodium lenticulum	(Bergh) Loeblich III, 1970	110001	7810486
worms	Glenodinium lenticula	Pouchet, 1883	110001	7382221
worms	Glenodinium lenticula f. globularis	Kisselew	110001	7382221
worms	Peridiniopsis lenticula	(Bergh) Starmach	110001	7688185
worms	Gonyaulax hyperborea	(Cleve) Paulsen, 1903	110007	9594474
worms	Gonyaulax triacantha	Jörgensen, 1899	110007	7545856
worms	Gonyaulax triacantha var. subinermis	Conrad, 1939	110007	7545856
worms	Gonyaulax digitale	Lemmermann, 1899	110015	7450507
worms	Gonyaulax schuettii	Lemmermann, 1899	110035	8419027
worms	Hystrichosphaera bulloidea	Deflandre & Cookson, 1955	110039	10161760
worms	Spiniferites bulloideus	(Deflandre & Cookson) Sarjeant, 1970	110039	10125967
worms	Achomosphaera hyperacantha	(Deflandre & Cookson) R.J.Davey & G.L.Williams, 1969	110041	8266636
worms	Gonyaulax levanderi	(Lemmermann) Paulsen, 1907	110041	8122044
worms	Gonyaulax membranacea	(M.Rossignol) Ellegaard, Daugbjerg, Rochon, J.Lewis & Harding, 2003	110041	9594474
worms	Gonyaulax spinifera var. levanderi	(Lemmermann) Lindeman, 1924	110041	7758129
worms	Hystrichosphaera furcata var. membranacea	M.Rossignol, 1964	110041	8255414
worms	Peridinium levanderi	Lemmermann, 1900	110041	7536081
worms	Peridinium spiniferum	Claparède & Lachmann, 1859	110041	7803992
worms	Spiniferites membranaceus	(R.Rossignol)Sarjeant	110041	7512278
worms	Spiniferites ramosus	(Ehrenberg) Mantell	110041	7388530
worms	Tectatodinium pellitum	D.Wall, 1967	110041	8208657
worms	Pyrgidium tesselatum	F.Stein, 1883	110077	7486292
worms	Oxytoxum nanum	Halldal, 1953	110082	8110680
worms	Oxytoxum tenuistriatum	Rampi, 1943	110114	7573332
worms	Pyrgidium sceptrum	F.Stein, 1883	110114	7443980
worms	Glenodinium monotis	(Meunier) Biecheler, 1952	110130	7596246
worms	Ostreopsis monotis	(Meunier) Lindemann, 1928	110130	8105543
worms	Lebouraia pusilla	(Balech & R.Akselman) J.D.Dodge & S.Toriumi, 1993	110134	8003076
worms	Diplopsalis orbicularis	Steidinger & Williams, 1970	110139	7604726
worms	Peridinium orbiculare	Paulsen, 1907	110139	7895544
worms	Amphidinium pellucidum	Redeke, 1935	110152	7398489
worms	Amphidinium redekei	Conrad & Kufferath, 1954	110152	8033867
worms	Amphidinium rotundatum	Lohmann, 1908	110152	3206884
worms	Gymnodinium minutum	Lebour, 1925	110152	3207643
worms	Katodinium minutum	Sournia, 1973	110152	8210271
worms	Katodinium rotundatum	(Lohmann) Loeblich III, 1965	110152	8814675
worms	Massartia rotundata	(Lohmann) Schiller, 1933	110152	7696121
worms	Massartia rotundatum var. conradi	Kufferath, 1954	110152	7696121
worms	Diplopsalis rotunda	Wood, 1968	110155	7970641
worms	Diplopsalis rotundata	Steidinger & Williams, 1970	110155	7970641
worms	Glenodinium rotundum	Schiller, 1937	110155	7532278
worms	Peridiniopsis limnophilum	(Lindemann) Bourrelly, 1968	110155	7962219
worms	Peridiniopsis rotunda	Lebour, 1922	110155	8363280
worms	Peridinium limnophilum	Lindemann, 1924	110155	7536081
worms	Amylax catenata	(Levander) Meunier, 1910	110156	7482019
worms	Gonyaulax catenata	(Levander) Kofoid, 1911	110156	8309008
worms	Peridinium catenatum	Levander, 1894	110156	3205606
worms	Glenodinium borgei	(Lemmermann) J.Schiller, 1935	110159	3207006
worms	Peridinium borgei	(Lemmermann) Lemmermann, 1910	110159	3207007
