Link to NORCCA website	scientific_name	AphiaID
https://norcca.scrol.net/species/mallomonas-papillosa	Mallomonas papillosa	610035
https://norcca.scrol.net/species/mallomonas-rasilis	Mallomonas rasilis	610041
https://norcca.scrol.net/species/ochromonas-danica	Ochromonas danica	1305802
https://norcca.scrol.net/species/phaeoplaca-thallosa	Phaeoplaca thallosa	614502
https://norcca.scrol.net/species/phaeothamnion-confervicola	Phaeothamnion confervicola	610286
https://norcca.scrol.net/species/synura-curtispina	Synura curtispina	610052
https://norcca.scrol.net/species/synura-echinulata	Synura echinulata	610053
https://norcca.scrol.net/species/synura-petersenii	Synura petersenii	571647
https://norcca.scrol.net/species/synura-uvella	Synura uvella	178595
https://norcca.scrol.net/species/chrysamoeba-pyrenoidifera	Chrysamoeba pyrenoidifera	616804
https://norcca.scrol.net/species/dinobryon-sertularia	Dinobryon sertularia	157252
https://norcca.scrol.net/species/dinobryon-sociale-var-americanum	Dinobryon sociale var. americanum	577718
https://norcca.scrol.net/species/ochromonas-perlata	Ochromonas perlata	656225
https://norcca.scrol.net/species/dinobryon-sp	Dinobryon	157240
https://norcca.scrol.net/species/dinobryon-divergens	Dinobryon divergens	157248
https://norcca.scrol.net/species/kephyrion-sp	Kephyrion	163474
https://norcca.scrol.net/species/chrysosphaerella-sp	Chrysosphaerella	137284
https://norcca.scrol.net/species/mallomonas-annulata	Mallomonas annulata	610020
https://norcca.scrol.net/species/helicotheca-tamesis	Helicotheca tamesis	157440
https://norcca.scrol.net/species/lioloma-delicatulum	Lioloma delicatulum	292728
https://norcca.scrol.net/species/entomoneis-sp	Entomoneis	156598
https://norcca.scrol.net/species/amphora-sp	Amphora	149200
https://norcca.scrol.net/species/odontella-aurita	Odontella aurita	149050
https://norcca.scrol.net/species/barrufeta-sp	Barrufeta	603276
https://norcca.scrol.net/species/pyramimonas-sp	Pyramimonas	134529
https://norcca.scrol.net/species/prorocentrum-donghaiense	Prorocentrum donghaiense	232304
https://norcca.scrol.net/species/heterocapsa-pseudotriquetra	Heterocapsa pseudotriquetra	233624
https://norcca.scrol.net/species/cosmarium-turpinii-var-eximium	Cosmarium turpinii var. Eximium	611171
https://norcca.scrol.net/species/pyrocystis-lunula	Pyrocystis lunula	164053
https://norcca.scrol.net/species/chromera-velia	Chromera velia	594556
https://norcca.scrol.net/species/vitrella-brassicaeformis	Vitrella brassicaeformis	837991
https://norcca.scrol.net/species/phaeodactylum-tricornutum	Phaeodactylum tricornutum	175584
https://norcca.scrol.net/species/nannochloropsis-oculata	Nannochloropsis oculata	376148
https://norcca.scrol.net/species/thalassiosira-pseudonana	Thalassiosira pseudonana	148934
https://norcca.scrol.net/species/chlorococcum-sp	Chlorococcum	143946
https://norcca.scrol.net/species/pavlova-gyrans	Pavlova gyrans	573929
https://norcca.scrol.net/species/cryptophyceae	Cryptophyceae	17639
https://norcca.scrol.net/species/thalassiosira-sp	Thalassiosira	148912
https://norcca.scrol.net/species/melosira-nummuloides	Melosira nummuloides	149044
https://norcca.scrol.net/species/phaeocystis-globosa	Phaeocystis globosa	160538
https://norcca.scrol.net/species/dolichospermum-circinale	Dolichospermum circinale	699631
https://norcca.scrol.net/species/amphidinium-sp	Amphidinium	109473
https://norcca.scrol.net/species/heterocapsa-sp	Heterocapsa	109540
https://norcca.scrol.net/species/alexandrium-pseudogonyaulax	Alexandrium pseudogonyaulax	109713
https://norcca.scrol.net/species/micrasterias-truncata	Micrasterias truncata	609069
https://norcca.scrol.net/species/staurastrum-sp	Staurastrum	162728
https://norcca.scrol.net/species/coolia-sp	Coolia	109534
https://norcca.scrol.net/species/nodularia-spumigena	Nodulariamigena	160566
https://norcca.scrol.net/species/alexandrium-ostenfeldii	Alexandrium ostenfeldii	109712
https://norcca.scrol.net/species/isochrysis-galbana	Isochrysis galbana	573884
https://norcca.scrol.net/species/ochromonas-sp	Ochromonas	249725
https://norcca.scrol.net/species/chaetoceros-compressus	Chaetoceros compressus	149129
https://norcca.scrol.net/species/chaetoceros-pseudocurvisetus	Chaetoceros pseudocurvisetus	178229
https://norcca.scrol.net/species/chaetoceros-debilis	Chaetoceros debilis	149219
https://norcca.scrol.net/species/chaetoceros-sp	Chaetoceros	148985
https://norcca.scrol.net/species/chaetoceros-diadema	Chaetoceros diadema	149128
https://norcca.scrol.net/species/chaetoceros-wighamii	Chaetoceros wighamii	160524
https://norcca.scrol.net/species/trachelomonas-sp	Trachelomonas	163247
https://norcca.scrol.net/species/odontella-mobiliensis	Odontella mobiliensis	164116
https://norcca.scrol.net/species/odontella-sinensis	Odontella sinensis	149095
https://norcca.scrol.net/species/lauderia-sp	Lauderia	149134
https://norcca.scrol.net/species/skeletonema-sp	Skeletonema	149073
https://norcca.scrol.net/species/ochromonas-tuberculata	Ochromonas tuberculata	610282
https://norcca.scrol.net/species/zygnema-sp	Zygnema	578376
https://norcca.scrol.net/species/spirogyra-sp	Spirogyra	577679
https://norcca.scrol.net/species/euglena-sanguinea	Euglena sanguinea	163127
https://norcca.scrol.net/species/enteromorpha-sp	Enteromorpha	144296
https://norcca.scrol.net/species/kryptoperidinium-foliaceum	Kryptoperidinium foliaceum	110154
