taxon_id	scientific_name	id	toxin_group	recommended_name	recommended_acronym	url
160564	Prymnesium parvum	546	Prymnesin	Prymnesin-B2	PRYM-B2	https://toxins.hais.ioc-unesco.org/toxins/546/
149151	Pseudo-nitzschia	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
149153	Pseudo-nitzschia delicatissima	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
246606	Pseudo-nitzschia fraudulenta	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
175738	Pseudo-nitzschia multiseries	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
376667	Skeletonema marinoi	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
160572	Synechococcus	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
148912	Thalassiosira	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
149102	Thalassiosira gravida	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
148925	Thalassiosira minima	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
148934	Thalassiosira pseudonana	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
