scientific_name	aphia_id	scientific_name_accepted	aphia_id_accepted
Trochiscia aciculifera	526684	Glochiococcus aciculiferus	612763
Granulocystopsis pseudocoronata	661414	Granulocystopsis decorata	616372
Microthamnion kuetzingianum var. strictissimum	422902	Microthamnion strictissimum	422901
Pediastrum boryanum var. longicorne	687810	Pseudopediastrum boryanum var. longicorne	846302
Pediastrum biradiatum	577882	Parapediastrum biradiatum	577885
Pediastrum kawraiskyi	661417	Pseudopediastrum kawraiskyi	621602
Pediastrum privum	613416	Stauridium privum	699560
Pediastrum simplex	163483	Monactinus simplex	621192
Pediastrum boryanum	160562	Pseudopediastrum boryanum	621601
Pediastrum tetras	248147	Stauridium tetras	248146
Pseudotetrastrum punctatum	576681	Lemmermannia punctata	839084
Dicellula planctonica	577826	Dicellula geminata	610876
Desmodesmus costato-granulatus	555806	Desmodesmus costatogranulatus	555806
Coelastrum reticulatum	577819	Hariotina reticulata	616367
Crucigenia lauterbornii	576234	Lemmermannia komarekii	839085
Crucigenia minima	670243	Lemmermannia triangularis	839083
Crucigeniella apiculata	172485	Willea apiculata	839163
Crucigeniella crucifera	616368	Willea crucifera	840470
Crucigeniella rectangularis	447750	Willea rectangularis	840472
Crucigeniella truncata	668215	Willea truncata	840474
Crucigeniella pulchra	661582	Willea apiculata	839163
Scenedesmus aculeolatus	579437	Desmodesmus aculeolatus	838101
Scenedesmus acuminatus	162928	Tetradesmus lagerheimii	1289276
Scenedesmus costatus	661419	Enallax costatus	623244
Scenedesmus granulatus	162932	Desmodesmus granulatus	624737
Scenedesmus incrassatulus	162705	Tetradesmus incrassatulus	1369796
Scenedesmus pectinatus	668512	Pectinodesmus pectinatus	623891
Scenedesmus spicatus	664192	Desmodesmus subspicatus	612515
Scenedesmus quadricauda var. longispina	577896	Desmodesmus armatus var. longispina	675363
Scenedesmus subspicatus	248163	Desmodesmus subspicatus	612515
Scenedesmus acutiformis	576690	Acutodesmus acutiformis	840479
Scenedesmus armatus	162929	Desmodesmus armatus	612499
Scenedesmus armatus var. bicaudatus	695900	Desmodesmus armatus var. bicaudatus	672032
Scenedesmus bicaudatus	572077	Desmodesmus bicaudatus	838103
Scenedesmus brasiliensis	661084	Desmodesmus brasiliensis	612500
Scenedesmus carinatus	700695	Desmodesmus opoliensis var. carinatus	672037
Scenedesmus columnatus	664179	Desmodesmus armatus	612499
Scenedesmus costato-granulatus	248157	Desmodesmus costatogranulatus	555806
Scenedesmus denticulatus	162706	Desmodesmus denticulatus	612501
Scenedesmus disciformis	661628	Scenedesmus obtusus f. disciformis	847069
Scenedesmus dispar	162931	Desmodesmus dispar	612502
Scenedesmus gutwinskii	664193	Desmodesmus subspicatus	612515
Scenedesmus intermedius	248159	Desmodesmus intermedius	612504
Scenedesmus intermedius var. bicaudatus	695184	Desmodesmus intermedius var. acutispinus	675372
Scenedesmus opoliensis	162707	Desmodesmus opoliensis	612508
Scenedesmus pseudodenticulatus	662688	Desmodesmus pseudodenticulatus	612512
Scenedesmus serratus	661087	Desmodesmus serratus	612513
Scenedesmus spinosus	248162	Desmodesmus spinosus	612514
Scenedesmus acutus	248155	Tetradesmus obliquus	1359367
Tetrastrum staurogeniaeforme	162935	Tetrastrum staurogeniiforme	610934
Tetrastrum triangulare	576711	Lemmermannia triangularis	839083
Tetrastrum pulloideum	577925	Willea apiculata	839163
Willea irregularis	248176	Crucigeniella irregularis	248175
Westella linearis	661096	Westellopsis linearis	622882
Didymocystis bicellularis	619986	Desmodesmus bicellularis	249712
Kirchneriella contorta	164067	Raphidocelis danubiana	616378
Kirchneriella danubiana	662380	Raphidocelis danubiana	616378
Ankistrodesmus gracilis	579766	Messastrum gracile	1372754
Ankistrodesmus acicularis	575722	Monoraphidium griffithii	248134
Pseudokirchneriella	578372	Raphidocelis	163110
Pseudokirchneriella subcapitata	578373	Raphidocelis subcapitata	610914
Microsporales	22971	Sphaeropleales	558965
Chaetophora elegans	422892	Chaetophoropsis elegans	1348616
Chaetophora incrassata	661424	Chaetophora lobata	624480
Chaetophora pisiformis	610959	Chaetophoropsis pisiformis	1341822
Stigeoclonium longipilum	610992	Chaetophora draparnaldioides	1348690
Stromatella monostromatica	144881	Neostromatella monostromatica	840291
Uronema curvatum	144890	Okellya curvata	547538
Bulbochaete de-baryana	623247	Bulbochaete debaryana	623247
Oedogonium platygynum	608557	Oedogonium itzigsohnii	608549
Oedogonium zig-zag	616419	Oedogonium zigzag	616419
Chlorococcales	17111	Chlamydomonadales	732333
Kirchneriella contorta var. elongata	673459	Pseudokirchneriella elongata	627308
Kirchneriella obesa var. major	577674	Kirchneriella major	657414
Kirchneriella subcapitata	661623	Raphidocelis subcapitata	610914
Quadrigula lacustris	572074	Gregiochloris lacustris	838560
Ankyra lanceolata	666617	Lanceola spatulifera	618770
Nannochloris atomus	664445	Picochlorum atomus	619172
Eutetramorus fottii	664128	Coenochloris fottii	576226
Eutetramorus planctonicus	664129	Coenococcus planctonicus	576228
Gloeocystis ampla	662856	Sphaerellocystis ampla	708137
Gloeocystis bacillus	668774	Chlamydocapsa bacillus	623172
Schizochlamydella	605003	Phaeoschizochlamys	601151
Schizochlamydella delicatula	626624	Phaeoschizochlamys delicatula	619574
Dactylosphaerium jurisii	248115	Mychonastes jurisii	624375
Siderocystopsis fusca	661423	Siderocystopsis punctifera	576697
Lobocystis planctonica	616373	Dictyosphaerium planctonicum	647499
Treubaria euryacantha	664215	Treubaria triappendiculata	576717
Chlamydomonas braunii	238807	Microglena braunii	837834
Chlamydomonas reginae	178585	Microglena reginae	837201
Sphaerellopsis	248167	Vitreochlamys	601168
Sphaerellopsis fluviatilis	577902	Vitreochlamys fluviatilis	637365
Gonium sociale	578343	Tetrabaena socialis	578346
Chlorogonium fusiforme	664098	Rusalka fusiformis	623361
Chlorogonium tetragamum	663089	Chlamydomonas tetragama	610818
Haematococcus pluvialis	608431	Haematococcus lacustris	661559
Haematococcus droebakensis	428523	Balticola droebakensis	627714
Tetraëdron longispinum	626419	Asterothrix longispina	642551
Resultor mikron	375891	Resultomonas moestrupii	837964
Bryopsidophyceae	368675	Ulvophyceae	146216
Tetraëdron incus	576707	Chlorotetraëdron incus	576709
Tetraëdron planctonicum	608462	Pseudostaurastrum planctonicum	647501
Tetraedron triangulare	558727	Tetraëdron triangulare	558727
Craspedophyta	153494	Choanozoa	562870
Craspedophyceae	153495	Choanoflagellatea	580116
Eutreptiales	17654	Eutreptiida	582210
Cyclidiopsis acus	578662	Lepocinclis cyclidiopsis	1358450
Tetreutreptia	605006	Eutreptiella	17657
Tetreutreptia pomquetensis	662762	Eutreptiella pomquetensis	577703
Euglenales	21000	Euglenida	582209
Pseudoperanema	22734	Peranema	8024
Colacium arbuscula	592875	Colacium vesiculosum f. arbuscula	592870
Euglena acus	163399	Lepocinclis acus	624247
Euglena intermedia	578483	Euglena deses	110631
Euglena klebsii	661472	Euglena deses	110631
Euglena oxyuris	163119	Lepocinclis oxyuris	624255
Euglena oxyuris var. minor	1379663	Lepocinclis oxyuris var. minor	846535
Euglena polymorpha	163122	Euglena granulata	163465
Euglena proxima	163466	Euglenaformis proxima	836927
Euglena spirogyra	163128	Lepocinclis spirogyroides	576887
Euglena tripteris	163458	Lepocinclis tripteris	624289
Menoidium costatum	664064	Rhabdomonas costata	614517
Menoidium incurvum	626497	Rhabdomonas incurva	616572
Trachelomonas planctonica var. oblonga	673675	Trachelomonas planctonica f. oblonga	688661
Lepocinclis ovum var. buetschlii	673654	Lepocinclis buetschlii	627583
Lepocinclis texta	662394	Euglena texta	163306
Phacus pyrum	163341	Monomorphina pyrum	447754
Phacus suecicus	700453	Phacus monilatus var. suecicus	671164
Heterocapsa triquetra	110153	Kryptoperidinium triquetrum	1346683
Zygabikodinium	109547	Preperidinium	109505
Zygabikodinium lenticulatum	110177	Preperidinium meunieri	614618
Oxytoxum mucronatum	233866	Corythodinium mucronatum	1341825
Glenodinium danicum	110146	Peridiniella danica	233369
Peridiniopsis berolinense	663834	Tyrannodinium edax	625986
Peridiniopsis dinobryonis	110160	Staszicella dinobryonis	663841
Peridiniopsis edax	663826	Tyrannodinium edax	625986
Peridiniopsis penardii	110163	Unruhdinium penardii	1359182
