taxon_id	scientific_name	scientific_name_authority	usage_key	url	n_nordic_occurrences	synonym_usage_key	synonym_names	synonyms_n_nordic_occurrences	point_style
109392	Gymnodiniales	Gymnodiniales Lemmermann, 1910	8920583	www.gbif.org/species/8920583	204469			0	orangeHeat.point
109393	Noctilucales	Noctilucales Haeckel, 1894	8808938	www.gbif.org/species/8808938	4712			0	scaled.circles
109394	Peridiniales	Peridiniales Haeckel, 1894	8907302	www.gbif.org/species/8907302	232317			0	orangeHeat.point
109395	Phytodiniales	Phytodiniales T.Christensen	8838532	www.gbif.org/species/8838532	160			0	scaled.circles
109396	Prorocentrales	Prorocentrales Lemmermann, 1910	9061956	www.gbif.org/species/9061956	47751			0	orangeHeat.point
109398	Pyrocystales	Pyrocystales Apstein, 1909	9218952	www.gbif.org/species/9218952	1303			0	scaled.circles
109400	Chytriodiniaceae	Chytriodiniaceae NA	7838608	www.gbif.org/species/7838608	873			0	scaled.circles
109401	Amoebophryaceae	Amoebophryaceae NA	7844381	www.gbif.org/species/7844381	1050			0	scaled.circles
109403	Desmocapsaceae	Desmocapsaceae NA	7450664	www.gbif.org/species/7450664	0			0	scaled.circles
109408	Goniodomataceae	Goniodomataceae Lindemann, 1928	8079349	www.gbif.org/species/8079349	20			0	scaled.circles
109409	Actiniscaceae	Actiniscaceae Kützing, 1844	7471929	www.gbif.org/species/7471929	370			0	scaled.circles
109410	Gymnodiniaceae	Gymnodiniaceae Lankester, 1885	7476073	www.gbif.org/species/7476073	90816			0	orangeHeat.point
109412	Lophodiniaceae	Lophodiniaceae Osorio Tafall, 1942	7941339	www.gbif.org/species/7941339	65			0	scaled.circles
109413	Polykrikaceae	Polykrikaceae Kofoid & Swezy, 1921	8286786	www.gbif.org/species/8286786	5086			0	scaled.circles
109415	Warnowiaceae	Warnowiaceae Lindemann, 1928	7626808	www.gbif.org/species/7626808	4393			0	scaled.circles
109417	Leptodiscaceae	Leptodiscaceae Kofoid, 1921	7487844	www.gbif.org/species/7487844	19			0	scaled.circles
109418	Noctilucaceae	Noctilucaceae Kent, 1881	8267551	www.gbif.org/species/8267551	3213			0	scaled.circles
109421	Ceratiaceae	Ceratiaceae Kofoid, 1907	7479242	www.gbif.org/species/7479242	158605			0	orangeHeat.point
109422	Ceratocoryaceae	Ceratocoryaceae Lindemann, 1928	7366060	www.gbif.org/species/7366060	11			0	scaled.circles
109425	Cladopyxidaceae	Cladopyxidaceae Kofoid, 1907	7912694	www.gbif.org/species/7912694	17699			0	scaled.circles
109426	Crypthecodiniaceae	Crypthecodiniaceae Biecheler ex Chatton, 1952	7373160	www.gbif.org/species/7373160	26			0	scaled.circles
109427	Dinosphaeraceae	Dinosphaeraceae Lindemann, 1928	8077549	www.gbif.org/species/8077549	0			0	scaled.circles
109428	Gonyaulacaceae	Gonyaulacaceae Lindemann, 1928	7665054	www.gbif.org/species/7665054	28615			0	scaled.circles
109429	Heterodiniaceae	Heterodiniaceae Lindemann, 1928	7431247	www.gbif.org/species/7431247	0			0	scaled.circles
109431	Ostreopsidaceae	Ostreopsidaceae Lindemann, 1928	7787950	www.gbif.org/species/7787950	11151			0	scaled.circles
109432	Oxytoxaceae	Oxytoxaceae Lindemann, 1928	7764593	www.gbif.org/species/7764593	3109			0	scaled.circles
109433	Peridiniaceae	Peridiniaceae Ehrenberg, 1831	8302476	www.gbif.org/species/8302476	34709			0	orangeHeat.point
109435	Protoperidiniaceae	Protoperidiniaceae J.P. Bujak & E.H. Davies, 1983	7834577	www.gbif.org/species/7834577	101878	8249364, 9393691, 7819956	Diplopsaliaceae, Diplopsalidaceae, Kolkwitziellaceae	88	orangeHeat.point
109436	Pyrophacaceae	Pyrophacaceae Lindemann, 1928	7983408	www.gbif.org/species/7983408	2415			0	scaled.circles
109437	Thecadiniaceae	Thecadiniaceae NA	7916091	www.gbif.org/species/7916091	0			0	scaled.circles
109438	Thoracosphaeraceae	Thoracosphaeraceae Schiller, 1930 emend. Tangen in Tangen, Brand, Blackwelder & Guillard, 1982	8254631	www.gbif.org/species/8254631	5703			0	scaled.circles
109440	Phytodiniaceae	Phytodiniaceae Klebs, 1912	8167715	www.gbif.org/species/8167715	145			0	scaled.circles
109442	Prorocentraceae	Prorocentraceae Stein, 1883	7752830	www.gbif.org/species/7752830	47627			0	orangeHeat.point
109444	Pyrocystaceae	Pyrocystaceae (Schütt, 1896) Lemmermann, 1899	8045220	www.gbif.org/species/8045220	1302			0	scaled.circles
109448	Amoebophrya	Amoebophrya Koeppen, 1894	7654604	www.gbif.org/species/7654604	707			0	scaled.circles
109449	Adinimonas	Adinimonas J.Schiller, 1928	7537865	www.gbif.org/species/7537865	3			0	scaled.circles
109453	Kolkwitziella	Kolkwitziella Lindemann, 1919	8192264	www.gbif.org/species/8192264	4	7404507	Apsteinia	0	scaled.circles
109462	Dinophysis	Dinophysis Ehrenberg, 1839	8327141	www.gbif.org/species/8327141	66782			0	orangeHeat.point
109466	Phalacroma	Phalacroma Stein, 1883	7429949	www.gbif.org/species/7429949	6654	8357328	Oxyphysis	0	scaled.circles
109467	Sinophysis	Sinophysis Nie & C.Wang, 1944	7818744	www.gbif.org/species/7818744	293			0	scaled.circles
109468	Fragilidium	Fragilidium Balech ex Loeblich III, 1965	8025858	www.gbif.org/species/8025858	1339	8148799, 7363642	Helgolandicum, Helgolandinium	0	scaled.circles
109470	Alexandrium	Alexandrium Halim, 1960	3205073	www.gbif.org/species/3205073	11131	7498832, 8005470	Gessnerium, Protogonyaulax	6	scaled.circles
109471	Achradina	Achradina Lohmann, 1902	3208018	www.gbif.org/species/3208018	0			0	scaled.circles
109472	Actiniscus	Actiniscus Ehrenberg, 1841	8097392	www.gbif.org/species/8097392	240			0	scaled.circles
109473	Amphidinium	Amphidinium Claperède & Lachmann, 1859	8033867	www.gbif.org/species/8033867	16187			0	scaled.circles
109474	Cochlodinium	Cochlodinium Schütt, 1896	7565797	www.gbif.org/species/7565797	1350			0	scaled.circles
109475	Gymnodinium	Gymnodinium F.Stein, 1878	3207519	www.gbif.org/species/3207519	39714	8974470, 8266432	Proaulax, Rhizodinium	0	orangeHeat.point
109476	Gyrodinium	Gyrodinium Kofoid & Swezy, 1921	3207317	www.gbif.org/species/3207317	33375			0	orangeHeat.point
109477	Katodinium	Katodinium Fott, 1957	7670324	www.gbif.org/species/7670324	20858	7614729	Massartia	0	scaled.circles
109479	Torodinium	Torodinium Kofoid & Swezy, 1921	8100015	www.gbif.org/species/8100015	6165			0	scaled.circles
109480	Hemidinium	Hemidinium F.Stein, 1878	9145872	www.gbif.org/species/9145872	44			0	scaled.circles
109484	Pheopolykrikos	Pheopolykrikos Chatton, 1933	8209860	www.gbif.org/species/8209860	29			0	scaled.circles
109485	Polykrikos	Polykrikos Bütschli, 1873	7728817	www.gbif.org/species/7728817	5057			0	scaled.circles
