List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix gelatinosa			Wille 1898	572036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572036	AU	cone	?/12*d^2*h	3			colony	 5x16				16	5		4	418,6666667			68,09478043				Species	colonies of cells up to 80, randomly distributed or arranged in irregular rows within a mucilaginous envelope
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix gelatinosa			Wille 1898	572036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572036	AU	cone	?/12*d^2*h	4			colony	 5x16				16	5		8	837,3333333			136,1895609				Species	colonies of cells up to 80, randomly distributed or arranged in irregular rows within a mucilaginous envelope
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix gelatinosa			Wille 1898	572036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572036	AU	cone	?/12*d^2*h	5			colony	 5x16				16	5		16	1674,666667			272,3791217				Species	colonies of cells up to 80, randomly distributed or arranged in irregular rows within a mucilaginous envelope
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium moniliferum			Ehrenberg ex Ralfs 1848	577666	http://www.marinespecies.org/aphia.php?p=taxdetails&id=577666	AU	2 cones	?/12*d^2*h	1			cell	 40x250-350				300	40		1	125600			13255,77191				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Staurodesmus	Staurodesmus			Teiling 1948	577680	http://www.marinespecies.org/aphia.php?p=taxdetails&id=577680	AU	two truncated cones	?/6*h*(d1^2+d1d2+d2^2)	1			cell	 16-27 x10-20				15	22	14	1	7755,8			970,0924616				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium gracile			Brébisson ex Ralfs 1848	577818	http://www.marinespecies.org/aphia.php?p=taxdetails&id=577818	AU	2 cones	?/12*d^2*h	1			cell	 5x150-200				182	5		1	1190,583333			166,9522215				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium strigosum			Brébisson 1856	578388	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578388	AU	2 cones	?/12*d^2*h	1			cell	 10-12x200-250				230	11,2		1	7549,397333			945,8306541				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium strigosum			Brébisson 1856	578388	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162725	AU	2 cones	?/12*d^2*h	2			cell	 12-16x200-250				210	14		1	10770,2			1320,419318				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acerosum			Ehrenberg ex Ralfs 1848	578389	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578389	AU	2 cones	?/12*d^2*h	1			cell	 20-30x300-350				325	25,2		1	54004,86			6000,786732				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acerosum			Ehrenberg ex Ralfs 1848	578389	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578389	AU	2 cones	?/12*d^2*h	2			cell	 30-35x500-600				550	32,5		1	152011,9792			15857,58391				Species	 -
