taxon_id	itis_id	url
109518	573305	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573305
109519	10359	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10359
109523	573312	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573312
109528	10463	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10463
109534	10167	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10167
109535	573313	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573313
109537	10199	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10199
109538	10174	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10174
109540	10206	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10206
109541	10352	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10352
109542	10193	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10193
109543	573307	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573307
109544	10195	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10195
109545	10536	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10536
109549	10212	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10212
109550	10498	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10498
109553	10340	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10340
109555	10161	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10161
109556	183935	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183935
109557	10491	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10491
109559	10453	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10453
109564	9919	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9919
109566	9877	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9877
109567	10389	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10389
109571	10551	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10551
109603	9938	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9938
109604	9930	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9930
109612	9939	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9939
109616	9975	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9975
109624	9947	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9947
109627	9948	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9948
109637	9932	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9932
109638	331235	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331235
109662	9941	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9941
109711	183930	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183930
109712	573527	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573527
109714	573512	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573512
109717	183972	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183972
109718	10008	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10008
