taxon_id	pr2_name	url
626297	Biecheleria_baltica	https://app.pr2-database.org/pr2-database/
626298	Biecheleria_halophila	https://app.pr2-database.org/pr2-database/
1360848	Blixaea_quinquecornis	https://app.pr2-database.org/pr2-database/
144865	Bolbocoleon_piliferum	https://app.pr2-database.org/pr2-database/
503084	Borghiella_tenuissima	https://app.pr2-database.org/pr2-database/
295863	Botrydium_granulatum	https://app.pr2-database.org/pr2-database/
248104	Botryococcus_braunii	https://app.pr2-database.org/pr2-database/
248104	Botryococcus_braunii:plas	https://app.pr2-database.org/pr2-database/
612162	Botryococcus_terribilis	https://app.pr2-database.org/pr2-database/
235922	Braarudosphaera_bigelowii	https://app.pr2-database.org/pr2-database/
235922	Braarudosphaera_bigelowii:plas	https://app.pr2-database.org/pr2-database/
345437	Brachiomonas_submarina	https://app.pr2-database.org/pr2-database/
