List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	1			cell	 6-10					8,7		1	344,61657			52,120959				Species	Solitary or spherical several-celled colonies
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	2			cell	 10-20					15		1	1766,25			241,788557				Species	Solitary or spherical several-celled colonies
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	3			cell	 20-30					25		1	8177,083333			1019,491645				Species	Solitary or spherical several-celled colonies
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	1			cell	<2					1		1	0,523333			0,117594				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	2			cell	 2-4					3		1	14,13			2,596792				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	3			cell	 4-6					5		1	65,416667			10,94927				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	4			cell	 6-8					7		1	179,503333			28,250611				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	5			cell	 8-10					9		1	381,51			57,343978				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	6			cell	 10-20					15		1	1766,25			241,788557				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	7			cell	 20-30					25		1	8177,083333			1019,491645				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	1			cell	<2					1,5		1	1,76625			0,368499				Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	2			colony	<2					1,5		20	35,325			7,36997	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	3			colony	<2					1,5		50	88,3125			18,424926	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	4			colony	<2					1,5		100	176,625			36,849852	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	5			colony	<2					1,5		200	353,25			73,699703	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	6			cell	 2-3					2,5		1	8,177083			1,553759				Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	7			colony	 2-3					2,5		20	163,541667			31,075181	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	8			colony	 2-3					2,5		50	408,854167			77,687952	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	9			colony	 2-3					2,5		100	817,708333			155,375905	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
