taxon_id	ncbi_id	url
231888	265565	www.ebi.ac.uk/ena/browser/view/265565
231889	3085203	www.ebi.ac.uk/ena/browser/view/3085203
232069	704171	www.ebi.ac.uk/ena/browser/view/704171
232074	1050069	www.ebi.ac.uk/ena/browser/view/1050069
232078	1169000	www.ebi.ac.uk/ena/browser/view/1169000
232093	1048533	www.ebi.ac.uk/ena/browser/view/1048533
232261	83649	www.ebi.ac.uk/ena/browser/view/83649
232376	2364126	www.ebi.ac.uk/ena/browser/view/2364126
232546	143672	www.ebi.ac.uk/ena/browser/view/143672
232606	994772	www.ebi.ac.uk/ena/browser/view/994772
232625	699226	www.ebi.ac.uk/ena/browser/view/699226
232703	210733	www.ebi.ac.uk/ena/browser/view/210733
232716	107757	www.ebi.ac.uk/ena/browser/view/107757
232778	2748896	www.ebi.ac.uk/ena/browser/view/2748896
232922	1641407	www.ebi.ac.uk/ena/browser/view/1641407
233024	225107	www.ebi.ac.uk/ena/browser/view/225107
233037	407301	www.ebi.ac.uk/ena/browser/view/407301
233447	109239	www.ebi.ac.uk/ena/browser/view/109239
233607	192219	www.ebi.ac.uk/ena/browser/view/192219
233619	1391882	www.ebi.ac.uk/ena/browser/view/1391882
233620	2920	www.ebi.ac.uk/ena/browser/view/2920
233667	388232	www.ebi.ac.uk/ena/browser/view/388232
233759	94616	www.ebi.ac.uk/ena/browser/view/94616
233761	94617	www.ebi.ac.uk/ena/browser/view/94617
233763	82999	www.ebi.ac.uk/ena/browser/view/82999
233765	83000	www.ebi.ac.uk/ena/browser/view/83000
233776	44439	www.ebi.ac.uk/ena/browser/view/44439
233780	90936	www.ebi.ac.uk/ena/browser/view/90936
233835	2684370	www.ebi.ac.uk/ena/browser/view/2684370
234468	83791	www.ebi.ac.uk/ena/browser/view/83791
234471	3116	www.ebi.ac.uk/ena/browser/view/3116
234474	63409	www.ebi.ac.uk/ena/browser/view/63409
234476	3117	www.ebi.ac.uk/ena/browser/view/3117
234481	932731	www.ebi.ac.uk/ena/browser/view/932731
234482	309357	www.ebi.ac.uk/ena/browser/view/309357
234483	309358	www.ebi.ac.uk/ena/browser/view/309358
235758	513285	www.ebi.ac.uk/ena/browser/view/513285
235761	182087	www.ebi.ac.uk/ena/browser/view/182087
235766	1720109	www.ebi.ac.uk/ena/browser/view/1720109
235804	127548	www.ebi.ac.uk/ena/browser/view/127548
235808	1086086	www.ebi.ac.uk/ena/browser/view/1086086
235823	38816	www.ebi.ac.uk/ena/browser/view/38816
235828	35138	www.ebi.ac.uk/ena/browser/view/35138
235832	373044	www.ebi.ac.uk/ena/browser/view/373044
235841	284804	www.ebi.ac.uk/ena/browser/view/284804
235849	373041	www.ebi.ac.uk/ena/browser/view/373041
235856	573975	www.ebi.ac.uk/ena/browser/view/573975
235910	418942	www.ebi.ac.uk/ena/browser/view/418942
235913	418943	www.ebi.ac.uk/ena/browser/view/418943
235922	373042	www.ebi.ac.uk/ena/browser/view/373042
235923	127549	www.ebi.ac.uk/ena/browser/view/127549
235934	418944	www.ebi.ac.uk/ena/browser/view/418944
