scientific_name	dyntaxa_id	author	valid_name	taxon_id
Dictyosphaerium pulchellum var. minutum	257060	H.Bachm.	Mucidosphaerium pulchellum var. minutum	673705
Strombomonas verrucosa var. zmiewika	257732	(Svirenko) Deflandre	Strombomonas verrucosa var. zmiewika	673801
Scenedesmus armatus var. boglariensis	257451	Hortob.	Desmodesmus armatus var. boglariensis	674007
Scenedesmus intermedius var. acaudatus	257470	Hortob.	Desmodesmus intermedius var. acaudatus	674014
Staurodesmus incus var. indentatus	6017753	(West & G.S.West) Coesel	Staurodesmus incus var. indentatus	674113
Tetraspora lubrica var. lacunosa	262140	(Duby) Chauv. ex Bréb.	Tetraspora lubrica var. lacunosa	674119
Coelastrum cambricum var. intermedium	257439	(Bohlin) G.S. West	Coelastrum cambricum var. intermedium	674132
Cosmarium abbreviatum var. minus	256869	(West & G.S.West) Willi Krieg. & Gerloff	Cosmarium abbreviatum var. minus	674144
Pinnularia divergens var. media	263143	Krammer	Pinnularia divergens var. media	674318
Staurodesmus patens var. maximus	257011	Teiling	Staurodesmus patens var. maximus	674334
Pinnularia microstauron var. nonfasciata	263112	Krammer	Pinnularia microstauron var. nonfasciata	674342
Pinnularia microstauron var. rostrata	263113	Krammer	Pinnularia microstauron var. rostrata	674344
Staurodesmus triangularis var. subhexagonus	257017	(W. & G.S. West) Teiling	Staurodesmus triangularis var. subhexagonus	674353
Pinnularia polyonca var. similis	263101	(Krammer) Krammer	Pinnularia polyonca var. similis	674360
Pinnularia graciloides var. triundulata	263132	(Fontell) Krammer	Pinnularia graciloides var. triundulata	674436
Pinnularia subcommutata var. nonfasciata	263084	Krammer	Pinnularia subcommutata var. nonfasciata	674441
Pinnularia clevei var. minor	263149	(Hust.) Krammer	Pinnularia clevei var. minor	674466
Cymbopleura rhomboidea var. angusta	262514	Krammer	Cymbopleura rhomboidea var. angusta	674535
Cymbopleura incertiformis var. laterostrata	262510	Krammer	Cymbopleura incertiformis var. laterostrata	674552
Spondylosium lundellii var. triquetrum	262243	(P.Lundell) N.Carter	Spondylosium lundellii var. triquetrum	674666
Chara baltica var. breviaculeata	235058	Kütz	Chara baltica var. breviaculeata	674672
Ulnaria ulna var. acus	248618	(Kütz.) Lange-Bert.	Ulnaria acus	674837
Tetraedron minimum var. tetralobulatum	257520	Reinsch	Tetraëdron minimum var. tetralobulatum	674838
Stigeoclonium farctum var. rivulare	262099	Butcher	Stigeoclonium farctum var. rivulare	674840
Staurodesmus bulnheimii var. subrotundatus	256989	(Printz) Teiling	Staurodesmus bulnheimii var. subrotundatus	674841
Staurastrum boreale var. planctonicum	256935	Brook	Staurastrum boreale var. planctonicum	674842
Spondylosium secedens var. undulatum	262247	Borge	Spondylosium secedens var. undulatum	674843
Scenedesmus denticulatus var. fenestratus	257465	(Teiling) Uherk.	Desmodesmus denticulatus var. fenestratus	674844
Scenedesmus armatus var. platydiscus	257453	(G.M.Sm.) Fott & Komárek	Comasiella arcuata var. platydisca	674845
Microspora palustris var. minor	262127	Wichmann	Microspora palustris var. minor	674850
Dolichospermum spiroides var. minimum	263730	(Nygaard)	Dolichospermum spiroides var. minimum	674855
Derepyxis ollula var. minuta	257854	NA	Derepyxis ollula var. minuta	674859
Cosmarium sphagnicola var. pachygonum	263197	Skuja	Cosmarium sphagnicola var. pachygonum	674860
Cosmarium pygmaeum var. perornatum	256889	Skuja	Cosmarium pygmaeum var. perornatum	674861
Chroococcus limneticus var. elegans	257599	G.M.Sm.	Limnococcus limneticus var. elegans	674864
Chamaepinnularia soehrensis var. muscicola	262460	(Petersen) Lange-Bert. & Krammer	Chamaepinnularia muscicola	674865
Staurodesmus bulnheimii var. huitfeldtii	256988	(Strøm) Teiling	Staurodesmus bulnheimii var. huitfeldtii	675012
Staurodesmus megacanthus var. subcurvatus	257008	(M.F. Rich) Teiling	Staurodesmus megacanthus var. subcurvatus	675028
Staurodesmus spencerianus var. gracilis	257014	Lütkem.	Staurodesmus spencerianus var. gracilis	675033
Staurodesmus triangularis var. limneticus	257016	Teiling	Staurodesmus triangularis var. limneticus	675035
Dinobryon sertularia var. protuberans	257815	(Lemmerm.) Willi Krieg.	Dinobryon sertularia var. protuberans	675141
Nitzschia epithemoides var. disputata	262981	(J.R.Carter) Lange-Bert.	Nitzschia epithemioides var. disputata	675174
Nitzschia filiformis var. conferta	262983	(Richter) Lange-Bert.	Nitzschia filiformis var. conferta	675175
Nitzschia frustulum var. bulnheimiana	262988	(Rabenh.) Grunow	Nitzschia frustulum var. bulnheimiana	675176
Xanthidium tetracentrotum var. protuberans	257028	(W. & G.S. West) W. & G.S. West	Xanthidium tetracentrotum var. protuberans	675244
Nitzschia palea var. minuta	237740	(Bleisch) Grunow	Nitzschia palea var. palea	675308
Nitzschia sinuata var. sinuata	263038	(Thwaites ex W.Sm.) Grunow	Grunowia sinuata	675314
