scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Paulinella	Genus	136779	Paulinellideae	599588	Lauterborn, 1895	accepted	Chromista	Cercozoa	Imbricatea	Euglyphida	Paulinellideae	Paulinella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Rhizaria - [Phylum] Cercozoa - [Subphylum] Filosa - [Superclass] Ventrifilosa - [Class] Imbricatea - [Order] Euglyphida - [Family] Paulinellideae - [Genus] Paulinella
Cosmarium	Genus	478557	Desmidiaceae	162724	Corda ex Ralfs, 1848	accepted	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Desmidiaceae	Cosmarium	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Infrakingdom] Streptophyta - [Phylum (Division)] Charophyta - [Class] Conjugatophyceae - [Order] Desmidiales - [Family] Desmidiaceae - [Genus] Cosmarium
Kinetoplastea	Class	562565	Euglenozoa	536202	Honigberg, 1963	accepted	Protozoa	Euglenozoa	Kinetoplastea				[Class] Kinetoplastea
Metakinetoplastina	Subclass	562566	Kinetoplastea	562565		accepted	Protozoa	Euglenozoa	Kinetoplastea				[Class] Kinetoplastea - [Subclass] Metakinetoplastina
Eubodonida	Order	582215	Metakinetoplastina	562566		accepted	Protozoa	Euglenozoa	Kinetoplastea	Eubodonida			[Class] Kinetoplastea - [Subclass] Metakinetoplastina - [Order] Eubodonida
Bodonaceae	Family	536197	Eubodonida	582215	Bütschli, 1884	accepted	Protozoa	Euglenozoa	Kinetoplastea	Eubodonida	Bodonaceae		[Class] Kinetoplastea - [Subclass] Metakinetoplastina - [Order] Eubodonida - [Family] Bodonaceae
Rhynchomonas	Genus	146161	Bodonaceae	536197	Klebs, 1892	accepted	Protozoa	Euglenozoa	Kinetoplastea	Eubodonida	Bodonaceae	Rhynchomonas	[Class] Kinetoplastea - [Subclass] Metakinetoplastina - [Order] Eubodonida - [Family] Bodonaceae - [Genus] Rhynchomonas
Bacteria	Kingdom	6	Biota	1		accepted	Bacteria						[] Biota - [Kingdom] Bacteria
Gracilicutes	Subkingdom	146536	Bacteria	6		accepted	Bacteria						[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes
Cyanobacteria	Phylum	146537	Gracilicutes	146536	Stanier ex Cavalier-Smith, 2002	accepted	Bacteria	Cyanobacteria					[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria
